"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"87",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,720,720,720,720,NA,NA,NA,NA,NA
"88",3120,NA,3120,3120,3120,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,420,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,2640,NA,NA,2640,2640,NA,NA,NA,NA,NA
"89",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,720,720,720,720,NA,NA,NA,NA,NA
"90",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"91",3120,3120,3120,3120,3120,3296,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1320,3360,3360,3360,3360,NA,2520,1860,2520,2220,NA,NA,NA,NA,NA
"92",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,3120,3120,3120,3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2640,2640,2640,2640,2640,NA,NA,NA,NA,NA
"94",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,3360,3360,3360,3120,NA,240,240,240,NA,NA,NA,NA,NA,NA
"95",3120,3120,3120,3120,3127,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,720,240,720,720,NA,NA,NA,NA,NA
"96",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1140,2340,2640,2640,2525,NA,NA,NA,NA,NA
"97",3120,3120,3120,3120,3120,2700,3300,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,240,2160,240,NA,NA,NA,NA,NA
"98",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,3120,3360,3120,3360,NA,NA,3360,NA,3120,NA,NA,2820,NA,NA,NA,NA,NA,NA,NA
"99",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"100",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1680,1680,1680,1680,1680,NA,NA,NA,NA,NA
"101",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3120,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,240,240,NA,240,240,NA,NA,NA,NA,NA
"102",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,3360,240,3360,NA,NA,180,NA,780
"103",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,602,720,720,720,NA,NA,NA,NA,NA
"104",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3300,720,720,720,720,720,NA,NA,NA,NA,NA
"105",3120,NA,3120,3120,3120,3360,NA,3060,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,240,NA,NA,240,240,NA,NA,NA,NA,NA
"106",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1976,3360,2580,3360,3060,NA,120,NA,420,NA
"107",3120,3120,3120,3120,3120,3360,3360,3360,3360,1200,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,240,240,240,240,NA,NA,NA,NA,NA,NA
"108",3120,3120,3120,3120,3120,3360,3360,3360,3360,3356,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3357,1260,2100,1980,2700,1560,NA,NA,NA,NA,NA
"109",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"110",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,720,720,720,720,NA,NA,NA,NA,NA
